shot_quadrant,pitch_quadrant,bowler_hand,bowler_type,shot type,runs
1,17,1,1,2,4
1,17,1,1,2,4
1,17,1,1,2,2
1,17,1,1,2,2
1,19,0,1,2,2
1,19,0,1,2,6
1,19,0,1,2,6
1,1,0,1,1,4
1,1,0,1,1,4
1,1,0,1,1,4
1,5,0,1,1,4
1,5,0,1,1,4
1,19,0,1,2,2
1,19,0,1,2,2
1,19,0,1,2,2
1,1,0,1,1,6
1,19,0,1,2,6
1,19,0,1,2,2
1,19,0,1,2,2
1,5,0,1,1,4
1,5,0,1,1,4
1,1,0,1,1,6
1,2,0,1,1,1
1,19,0,1,2,1
1,1,1,2,1,1
1,1,1,2,1,6
1,6,1,2,4,1
1,6,1,2,4,1
1,6,1,2,4,1
1,6,1,2,4,4
1,6,1,2,4,4
1,10,1,3,4,6
1,2,1,3,1,2
1,2,1,3,1,2
1,14,1,3,4,1
1,14,1,3,4,1
1,14,1,3,4,1
1,1,1,3,1,6
1,10,0,2,4,6
1,10,0,2,4,4
1,1,0,2,1,4
1,14,0,2,4,4
1,6,0,2,4,2
1,10,0,3,3,2
1,10,0,3,3,2
1,5,0,3,1,4
1,5,0,3,1,4
1,5,0,3,1,6
2,10,1,1,1,1
2,14,1,1,5,1
2,14,1,1,5,1
2,18,1,1,2,4
2,18,1,1,2,4
2,2,1,1,4,1
2,2,1,1,4,2
2,6,1,1,1,2
2,10,1,1,1,2
2,14,1,1,5,2
2,11,1,1,1,2
2,7,0,1,1,2
2,7,0,1,1,2
2,7,0,1,1,2
2,11,0,1,1,6
2,11,0,1,1,2
2,11,0,1,1,4
2,10,0,1,1,4
2,15,0,1,5,1
2,15,0,1,5,1
2,15,0,1,5,1
2,15,0,1,5,1
2,10,1,2,1,4
2,10,1,2,1,4
2,10,1,2,1,4
2,10,1,2,1,2
2,10,1,2,1,2
2,14,1,2,3,2
2,14,1,2,3,2
2,14,1,2,3,2
2,14,1,2,3,1
2,6,1,2,1,3
2,6,1,2,1,3
2,10,0,2,1,3
2,10,0,2,1,3
2,10,0,2,1,4
2,10,0,2,1,4
2,10,0,2,1,2
2,10,0,2,1,2
2,14,0,2,3,2
2,14,0,2,3,2
2,14,0,2,3,2
2,14,0,2,3,2
2,6,0,2,1,4
2,6,0,2,1,4
2,6,0,2,1,2
2,6,0,2,1,2
2,6,0,2,1,2
2,6,0,2,1,3
2,6,1,3,1,2
2,6,1,3,1,2
2,6,1,3,1,2
2,6,1,3,1,2
2,6,1,3,1,2
2,10,1,3,1,2
2,10,1,3,1,2
2,10,1,3,1,4
2,10,1,3,1,4
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,14,1,3,5,1
2,6,0,3,1,1
2,6,0,3,1,1
2,6,0,3,1,4
